customer_id,first_name,last_name,email,phone_no
1,Arun,Kumar,arun.kumar@example.com,9876543210
2,Neha,Sharma,neha.sharma@example.com,9123456789
3,Rahul,Menon,rahul.menon@example.com,9988776655
4,Priya,Iyer,priya.iyer@example.com,9090909090
5,Anil,Varma,anil.varma@example.com,9567891234
6,Sneha,Joshi,sneha.joshi@example.com,9412345678
7,Vikram,Patel,vikram.patel@example.com,9321456789
8,Kavya,Nair,kavya.nair@example.com,9887766554
9,Rohit,Gupta,rohit.gupta@example.com,9001122334
10,Meera,Rao,meera.rao@example.com,9898989898
